Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 57,57,57
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.65796452720002651660
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 6.7245904223 | 0.5391006078
	7.4588251313 | 8.4828443597 | 1.0486153802
	7.4588251313 | 7.2766030711 | 0.0332048792
	7.4588251313 | 8.1183762787 | 0.4350077160
	7.4588251313 | 7.8201530634 | 0.1305578746
	7.4588251313 | 7.4578538411 | 0.0000009434
	7.4588251313 | 7.7264831599 | 0.0716408203
	7.4588251313 | 7.2318479026 | 0.0515186624
	7.4588251313 | 6.1573975160 | 1.6937138378
	7.4588251313 | 7.7559726067 | 0.0882966221
	7.4588251313 | 7.4885045167 | 0.0008808659
	7.4588251313 | 7.6227111365 | 0.0268586227
	7.4588251313 | 6.0594984605 | 1.9581151316
	7.4588251313 | 6.3145580393 | 1.3093471779
	7.4588251313 | 7.7230701498 | 0.0698254298
	7.4588251313 | 6.1113349263 | 1.8157298526
	7.4588251313 | 7.8445651764 | 0.1487953824
	7.4588251313 | 7.5475626385 | 0.0078743452
	7.4588251313 | 7.8822919818 | 0.1793241735
	7.4588251313 | 7.1435677126 | 0.0993872400
	7.4588251313 | 7.8148136467 | 0.1267278231
	7.4588251313 | 7.6181335138 | 0.0253791607
	7.4588251313 | 7.2978985105 | 0.0258973773
	7.4588251313 | 7.8312526479 | 0.1387022551
	7.4588251313 | 7.9929245042 | 0.2852621402
	7.4588251313 | 6.4803681090 | 0.9573781444
	7.4588251313 | 7.2017266167 | 0.0660996462
	7.4588251313 | 7.5613983762 | 0.0105212706
	7.4588251313 | 7.7582979126 | 0.0896839467
	7.4588251313 | 7.5980449698 | 0.0193821634
	7.4588251313 | 6.1824678932 | 1.6290877993
	7.4588251313 | 6.0573466499 | 1.9641419338
	7.4588251313 | 7.3617310809 | 0.0094272546
	7.4588251313 | 7.4607931882 | 0.0000038732
	7.4588251313 | 9.4382183712 | 3.9179975982
	7.4588251313 | 6.3880783399 | 1.1464986912
	7.4588251313 | 6.8607002540 | 0.3577533688
	7.4588251313 | 8.5066725334 | 1.0979841782
	7.4588251313 | 7.8059207799 | 0.1204753893
	7.4588251313 | 7.4379935045 | 0.0004339567
