Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 225,225,225
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 29.33246921791284478331
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 44.1378424046 | 2.2933771468
	3.6193580194 | 6.9513909853 | 11.1024436857
	14.8101968258 | 15.0825810470 | 0.0741931639
	95.6802585245 | 89.1927150100 | 42.0882208517
	80.7599408181 | 80.4476172164 | 0.0975460321
	151.9124776000 | 144.3279510250 | 57.5250433663
	38.1071303166 | 35.5322737402 | 6.6298863890
	60.5283449415 | 59.9230426148 | 0.3663909068
	15.7713610460 | 15.8957546669 | 0.0154737729
	26.9295441315 | 29.6445560766 | 7.3712898623
	45.3353975536 | 43.4941873003 | 3.3900551969
	26.9394855072 | 25.3391735901 | 2.5609982321
	18.7386443260 | 17.8428127099 | 0.8025142844
	12.9336643570 | 8.9297351759 | 16.0314488874
	14.2649027747 | 16.0743583261 | 3.2741293925
	41.8627761972 | 41.4034575915 | 0.2109735815
	23.8797765501 | 23.7986941592 | 0.0065743541
	13.8573527199 | 17.0018026818 | 9.8875655627
	14.6417113659 | 22.5768130381 | 62.9658385489
	7.6741391471 | 7.1014249769 | 0.3280015208
	21.0954875292 | 18.5010849019 | 6.7309249929
	7.3071484354 | 15.5883359898 | 68.5780673121
	8.1531554515 | 11.9997605425 | 14.7963707263
	17.5377826988 | 17.4251909064 | 0.0126769117
	16.0668745556 | 15.0457708824 | 1.0426527114
	12.1911370473 | 11.1326404201 | 1.1204151096
	8.8726714451 | 9.7379371614 | 0.7486847598
	11.2864427278 | 22.4035669460 | 123.5904508830
	10.1091975389 | 14.9489186732 | 23.4229006582
	8.0182772777 | 12.7920723427 | 22.7891193223
	14.6978954500 | 16.7937344002 | 4.3925409054
	6.2137733467 | 12.0136456586 | 33.6385188345
	18.2282702253 | 19.2347462141 | 1.0129939160
	10.7750992010 | 8.9622657357 | 3.2863651730
	10.2547250236 | 16.9690449977 | 45.0820927141
	5.8496227769 | 8.9622657357 | 9.6885461892
	7.5810516990 | 19.6661657258 | 146.0499810418
	8.4908655969 | 16.0743583261 | 57.5093619738
	6.0780658615 | 11.1646458024 | 25.8732954951
	7.0879116947 | 13.7216004160 | 44.0058260507
