Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/swws-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 39,40,41
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.300000
	Tk final-> 0.010000
	Minimum Temperature-> 0.010000
	Geometric cooling rate: T[k]=0.700000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 0.00985269044909611869
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	0.0039886986 | 0.0054584201 | 0.0000021601
	0.0029879031 | 0.0033166305 | 0.0000001081
	0.0037201231 | 0.0044410514 | 0.0000005197
	0.0037725059 | 0.0046298194 | 0.0000007350
	0.0033989676 | 0.0050391951 | 0.0000026903
	0.0035693194 | 0.0032432415 | 0.0000001063
	0.0031179289 | 0.0027949708 | 0.0000001043
	0.0044615638 | 0.0038775086 | 0.0000003411
	0.0059676686 | 0.0052739017 | 0.0000004813
	0.0055558849 | 0.0050230371 | 0.0000002839
	0.0077927488 | 0.0083765942 | 0.0000003409
	0.0071375407 | 0.0077262157 | 0.0000003465
	0.0059695831 | 0.0033547203 | 0.0000068375
	0.0059695831 | 0.0065772190 | 0.0000003692
	0.0045413453 | 0.0021009057 | 0.0000059557
	0.0043080319 | 0.0039449294 | 0.0000001318
	0.0048458116 | 0.0044231801 | 0.0000001786
	0.0050416856 | 0.0032954054 | 0.0000030495
	0.0050703945 | 0.0032654574 | 0.0000032578
	0.0058762619 | 0.0018340646 | 0.0000163394
	0.0045070714 | 0.0026967815 | 0.0000032771
	0.0044766716 | 0.0032248654 | 0.0000015670
	0.0030526121 | 0.0032114686 | 0.0000000252
	0.0050808509 | 0.0052556386 | 0.0000000306
	0.0038613595 | 0.0049935435 | 0.0000012818
	0.0032104381 | 0.0020782298 | 0.0000012819
	0.0044411408 | 0.0050463532 | 0.0000003663
	0.0057801081 | 0.0032653945 | 0.0000063238
	0.0050366699 | 0.0040065246 | 0.0000010612
	0.0049022962 | 0.0026214189 | 0.0000052024
	0.0043053665 | 0.0048486171 | 0.0000002951
	0.0037881554 | 0.0036354548 | 0.0000000233
	0.0023986737 | 0.0039191733 | 0.0000023119
	0.0036232379 | 0.0032020717 | 0.0000001774
	0.0027156727 | 0.0018055294 | 0.0000008284
	0.0029831918 | 0.0032445312 | 0.0000000683
	0.0044099778 | 0.0021765918 | 0.0000049880
	0.0049211735 | 0.0040377405 | 0.0000007805
	0.0050230302 | 0.0093088814 | 0.0000183685
	0.0054846686 | 0.0033681707 | 0.0000044796
