Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 8197,7010,2584
SIMULATED ANNEALING:
	Initial Temperature-> 40.000000
	Tk final-> 10.000000
	Minimum Temperature-> 0.000001
	Geometric cooling rate: T[k]=0.920000 * T[k-1]
	Number Maxim of Combinations-> 200
RESULTS:
	Best cost -> 0.12698753837975812475
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	0.1520599223 | 0.1497153351 | 0.0000054971
	0.1520599223 | 0.1523601360 | 0.0000000901
	0.1520599223 | 0.1832411395 | 0.0009722683
	0.1520599223 | 0.1802654619 | 0.0007955525
	0.1520599223 | 0.1458201947 | 0.0000389342
	0.1520599223 | 0.1523604360 | 0.0000000903
	0.1520599223 | 0.1792483979 | 0.0007392132
	0.1520599223 | 0.1699076163 | 0.0003185402
	0.1520599223 | 0.1801210447 | 0.0007874266
	0.1520599223 | 0.1402961007 | 0.0001383875
	0.1520599223 | 0.1875514423 | 0.0012596480
	0.1520599223 | 0.1747929827 | 0.0005167920
	0.1520599223 | 0.1506996598 | 0.0000018503
	0.1520599223 | 0.1468364405 | 0.0000272848
	0.1520599223 | 0.1815062205 | 0.0008670845
	0.1520599223 | 0.1764941541 | 0.0005970317
	0.1520599223 | 0.1425971561 | 0.0000895439
	0.1520599223 | 0.1767976804 | 0.0006119567
	0.1520599223 | 0.1385469084 | 0.0001826015
	0.1520599223 | 0.1812388200 | 0.0008514081
	0.1520599223 | 0.1548428276 | 0.0000077446
	0.1520599223 | 0.1759621952 | 0.0005713186
	0.1520599223 | 0.1723187496 | 0.0004104201
	0.1520599223 | 0.1462322034 | 0.0000339623
	0.1520599223 | 0.1792531635 | 0.0007394724
	0.1520599223 | 0.1473657059 | 0.0000220357
	0.1520599223 | 0.1764103086 | 0.0005929413
	0.1520599223 | 0.1526172522 | 0.0000003106
	0.1520599223 | 0.1425013455 | 0.0000913664
	0.1520599223 | 0.1475282796 | 0.0000205358
	0.1520599223 | 0.1427382005 | 0.0000868945
	0.1520599223 | 0.1096207139 | 0.0018010864
	0.1520599223 | 0.1442149942 | 0.0000615429
	0.1520599223 | 0.1520922454 | 0.0000000010
	0.1520599223 | 0.1471377735 | 0.0000242275
	0.1520599223 | 0.1402254138 | 0.0001400556
	0.1520599223 | 0.1103643314 | 0.0017385223
	0.1520599223 | 0.1377717595 | 0.0002041516
	0.1520599223 | 0.1799532603 | 0.0007780383
	0.1520599223 | 0.1519857905 | 0.0000000055
