Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/clus-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 21,22,23
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.300000
	Tk final-> 0.000010
	Minimum Temperature-> 0.000010
	Geometric cooling rate: T[k]=0.950000 * T[k-1]
	Number Maxim of Combinations-> 2
RESULTS:
	Best cost -> 0.56421632432792001577
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	0.0087910990 | 0.1000715914 | 0.0083321283
	0.0091875564 | 0.1244533050 | 0.0132861928
	0.0027613177 | 0.0191038693 | 0.0002670790
	0.0022067120 | 0.0546642230 | 0.0027517905
	0.0049123540 | 0.0572789745 | 0.0027422629
	0.0030716813 | 0.0092415289 | 0.0000380670
	0.0076359989 | 0.0085200976 | 0.0000007816
	0.0048630854 | 0.0903754709 | 0.0073123681
	0.0080816392 | 0.0987060138 | 0.0082127773
	0.0050270223 | 0.0820007479 | 0.0059249544
	0.0157620299 | 0.0393668081 | 0.0005571856
	0.0151994950 | 0.0927827160 | 0.0060191562
	0.0136576493 | 0.0272902194 | 0.0001858470
	0.0030490761 | 0.0160422186 | 0.0001688218
	0.0168729352 | 0.1850777661 | 0.0282928651
	0.0266280065 | 0.0460559505 | 0.0003774450
	0.0066566083 | 0.1266837784 | 0.0144065216
	0.0356338405 | 0.1235029066 | 0.0077209728
	0.0231930787 | 0.0515516738 | 0.0008042099
	0.0215621866 | 0.1407493193 | 0.0142055726
	0.0088744075 | 0.0358975790 | 0.0007302518
	0.0329681094 | 0.0734726279 | 0.0016406160
	0.0119008977 | 0.1073796916 | 0.0091162001
	0.2335381628 | 0.0951446883 | 0.0191527538
	0.2433130237 | 0.1248558964 | 0.0140320910
	0.4010896540 | 0.3525498817 | 0.0023561095
	0.1149286393 | 0.1189270363 | 0.0000159872
	0.3010570938 | 0.0524046774 | 0.0618280242
	0.2306188476 | 0.2243551079 | 0.0000392344
	0.1270326766 | 0.1991661529 | 0.0052032384
	0.2930799747 | 0.1681495685 | 0.0156076064
	0.0715224522 | 0.0654392855 | 0.0000370049
	0.2150166343 | 0.1454930692 | 0.0048335261
	0.0846671340 | 0.1109235154 | 0.0006893976
	0.1844719225 | 0.1280489604 | 0.0031835506
	0.1726840614 | 0.1638558994 | 0.0000779364
	0.2679648047 | 0.1964468460 | 0.0051148184
	0.2798368630 | 0.1296493778 | 0.0225562807
	0.3689029456 | 0.1988370289 | 0.0289224160
	0.0251358788 | 0.0650860695 | 0.0015960177
