Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 16485,23545,21625
SIMULATED ANNEALING:
	Initial Temperature-> 10.000000
	Tk final-> 0.000093
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.900000 * T[k-1]
	Number Maxim of Combinations-> 1000
RESULTS:
	Best cost -> 0.13522056550645294992
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	0.2351024537 | 0.2154974075 | 0.0003843578
	0.0088390768 | 0.0055268821 | 0.0000109706
	0.0644067057 | 0.0554984999 | 0.0000793561
	0.4465901803 | 0.4220671381 | 0.0006013796
	0.3703598442 | 0.3342527503 | 0.0013037222
	0.6421576437 | 0.6021871228 | 0.0015976425
	0.1941762852 | 0.1936662310 | 0.0000002602
	0.2901865627 | 0.2776129718 | 0.0001580952
	0.0726448189 | 0.0797584856 | 0.0000506043
	0.1329010484 | 0.1607926577 | 0.0007779419
	0.2497926322 | 0.2401969905 | 0.0000920763
	0.1516546475 | 0.1469224829 | 0.0000223934
	0.0834143082 | 0.1353607613 | 0.0026984340
	0.0551423061 | 0.0328231248 | 0.0004981459
	0.0762007216 | 0.0510250328 | 0.0006338153
	0.2426364040 | 0.2119186253 | 0.0009435819
	0.1252047460 | 0.1355048448 | 0.0001060920
	0.0533105597 | 0.0360019982 | 0.0002995863
	0.0834714868 | 0.1395830441 | 0.0031485069
	0.0298022358 | 0.0563382157 | 0.0007041582
	0.0862141304 | 0.0676280635 | 0.0003454419
	0.0330191961 | 0.0248872254 | 0.0000661289
	0.0375946498 | 0.0012323939 | 0.0013222137
	0.0769780481 | 0.0551321263 | 0.0004772443
	0.0700032643 | 0.0839383555 | 0.0001941868
	0.0481838042 | 0.0454128425 | 0.0000076782
	0.0377830388 | 0.0277867870 | 0.0000999250
	0.0436179480 | 0.0545094231 | 0.0001186242
	0.0442395764 | 0.0399681782 | 0.0000182448
	0.0298306707 | 0.0510488032 | 0.0004502091
	0.0580870799 | 0.0609620493 | 0.0000082654
	0.0251501005 | 0.0264084019 | 0.0000015833
	0.0935628308 | 0.0965832817 | 0.0000091231
	0.0580989823 | 0.0606546012 | 0.0000065312
	0.0509351287 | 0.0479534119 | 0.0000088906
	0.0265683453 | 0.0510488032 | 0.0005992928
	0.0329467901 | 0.0160780814 | 0.0002845533
	0.0334690768 | 0.0277867870 | 0.0000322884
	0.0226853566 | 0.0160780814 | 0.0000436561
	0.0238094680 | 0.0148988431 | 0.0000793992
