Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 214,214,214
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 16.96832970721430200456
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 45.5117424503 | 0.0197374342
	3.6193580194 | 5.7153023256 | 4.3929825345
	14.8101968258 | 13.3377992937 | 2.1679544926
	95.6802585245 | 92.4526926197 | 10.4171816698
	80.7599408181 | 76.0237520048 | 22.4314844748
	151.9124776000 | 149.8268152681 | 4.3499873629
	38.1071303166 | 37.3902110719 | 0.5139732034
	60.5283449415 | 65.2265221857 | 22.0728694180
	15.7713610460 | 16.9694303815 | 1.4353701327
	26.9295441315 | 26.3079656841 | 0.3863597662
	45.3353975536 | 46.0741028289 | 0.5456854837
	26.9394855072 | 25.6460198436 | 1.6730534229
	18.7386443260 | 18.7183791530 | 0.0004106772
	12.9336643570 | 12.8488255748 | 0.0071976190
	14.2649027747 | 16.5615829177 | 5.2747396794
	41.8627761972 | 39.3367536188 | 6.3807900670
	23.8797765501 | 27.1853746721 | 10.9269789443
	13.8573527199 | 18.3679013137 | 20.3450486173
	14.6417113659 | 16.5211135210 | 3.5321524606
	7.6741391471 | 9.4136758258 | 3.0259878566
	21.0954875292 | 20.9950067469 | 0.0100963876
	7.3071484354 | 5.1575711721 | 4.6206824108
	8.1531554515 | 10.1593662051 | 4.0248815880
	17.5377826988 | 21.2656309113 | 13.8968522956
	16.0668745556 | 19.6514083125 | 12.8488822547
	12.1911370473 | 15.2353202236 | 9.2670512110
	8.8726714451 | 11.3417378750 | 6.0962890354
	11.2864427278 | 13.3363706789 | 4.2022046044
	10.1091975389 | 10.5473587928 | 0.1919852844
	8.0182772777 | 12.1492786370 | 17.0651722303
	14.6978954500 | 13.2922138378 | 1.9759407948
	6.2137733467 | 8.7320725066 | 6.3418306585
	18.2282702253 | 25.6441888839 | 54.9958495512
	10.7750992010 | 10.3328399452 | 0.1955932494
	10.2547250236 | 8.7486575537 | 2.2682392239
	5.8496227769 | 8.0140564782 | 4.6847732475
	7.5810516990 | 11.1069784510 | 12.4321594605
	8.4908655969 | 9.7546374173 | 1.5971192140
	6.0780658615 | 8.0139731374 | 3.7477369809
	7.0879116947 | 9.8376258713 | 7.5609280528
