Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> /Users/oscarraigcolon/Arrel/git/rebuild-graph/data/threshold_accepting/example_graphs/10sfba/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 12,13,14
SIMULATED ANNEALING:
	Initial Temperature-> 40.000000
	Tk final-> 0.001000
	Minimum Temperature-> 0.001000
	Geometric cooling rate: T[k]=0.900000 * T[k-1]
	Number Maxim of Combinations-> 10
RESULTS:
	Best cost -> 5858774237905.69628906250000000000
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	0.0308020031 | 935232191167.0080566406 | 874659251394985538355200.0000000000
	0.0024420884 | 935232191167.0080566406 | 874659251395038554357760.0000000000
	0.0099926967 | 935232191167.0080566406 | 874659251395024327278592.0000000000
	0.0645560699 | 935232191167.0080566406 | 874659251394922321805312.0000000000
	0.0544893219 | 935232191167.0080566406 | 874659251394941246504960.0000000000
	0.1024961764 | 889953617197.7806396484 | 792017440763231361564672.0000000000
	0.0257113173 | 935232191167.0080566406 | 874659251394994933596160.0000000000
	0.0408389914 | 935232191167.0081787109 | 874659251394966882091008.0000000000
	0.0106411753 | 889953617197.7810058594 | 792017440763395644063744.0000000000
	0.0181698096 | 935232191167.0084228516 | 874659251395009831763968.0000000000
	0.0305884506 | 935232191167.0080566406 | 874659251394985806790656.0000000000
	0.0181765728 | 889953617197.7811279297 | 792017440763382356508672.0000000000
	0.0126433345 | 935232191167.0081787109 | 874659251395019629658112.0000000000
	0.0087265424 | 935232191167.0080566406 | 874659251395026877415424.0000000000
	0.0096248145 | 935232191167.0080566406 | 874659251395024998367232.0000000000
	0.0282452361 | 935232191167.0080566406 | 874659251394990370193408.0000000000
	0.0161120777 | 935232191167.0079345703 | 874659251395012784553984.0000000000
	0.0093498138 | 935232191167.0080566406 | 874659251395025535238144.0000000000
	0.0098790695 | 889953617197.7808837891 | 792017440763396717805568.0000000000
	0.0051779127 | 935232191167.0084228516 | 874659251395034259390464.0000000000
	0.0142333308 | 935232191167.0079345703 | 874659251395016139997184.0000000000
	0.0049303428 | 935232191167.0081787109 | 874659251395034259390464.0000000000
	0.0055011926 | 935232191167.0079345703 | 874659251395032648777728.0000000000
	0.0118331253 | 935232191167.0084228516 | 874659251395021642924032.0000000000
	0.0108405610 | 889953617197.7808837891 | 792017440763394972975104.0000000000
	0.0082256057 | 889953617197.7808837891 | 792017440763399804813312.0000000000
	0.0059865790 | 935232191167.0076904297 | 874659251395031172382720.0000000000
	0.0076151008 | 935232191167.0075683594 | 874659251395028085374976.0000000000
	0.0068208589 | 935232191167.0067138672 | 874659251395027816939520.0000000000
	0.0054101243 | 935232191167.0067138672 | 874659251395030501294080.0000000000
	0.0099169673 | 935232191167.0063476562 | 874659251395021374488576.0000000000
	0.0041926386 | 935232191167.0063476562 | 874659251395032111906816.0000000000
	0.0122988952 | 935232191167.0062255859 | 874659251395016676868096.0000000000
	0.0072703188 | 935232191167.0062255859 | 874659251395025937891328.0000000000
	0.0069191347 | 935232191167.0062255859 | 874659251395026608979968.0000000000
	0.0039469526 | 889953617197.7808837891 | 792017440763407321006080.0000000000
	0.0051151444 | 935232191167.0062255859 | 874659251395030098640896.0000000000
	0.0057289804 | 889953617197.7808837891 | 792017440763404099780608.0000000000
	0.0041011054 | 935232191167.0063476562 | 874659251395032111906816.0000000000
	0.0047824766 | 935232191167.0063476562 | 874659251395031038164992.0000000000
