Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 15382,24335,5639
SIMULATED ANNEALING:
	Initial Temperature-> 40.000000
	Tk final-> 10.000000
	Minimum Temperature-> 0.001000
	Geometric cooling rate: T[k]=0.900000 * T[k-1]
	Number Maxim of Combinations-> 100
RESULTS:
	Best cost -> 0.29322679254018807482
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	0.1153846154 | 0.1075798471 | 0.0000609144
	0.1153846154 | 0.0809716599 | 0.0011842515
	0.1153846154 | 0.0684660369 | 0.0022013530
	0.1153846154 | 0.1317813765 | 0.0002688538
	0.1153846154 | 0.0508322087 | 0.0041670132
	0.1153846154 | 0.0558929375 | 0.0035392597
	0.1153846154 | 0.1211201080 | 0.0000328959
	0.1153846154 | 0.0554430949 | 0.0035929859
	0.1153846154 | 0.0371120108 | 0.0061266006
	0.1153846154 | 0.1049257760 | 0.0001093873
	0.1153846154 | 0.0650697256 | 0.0025315881
	0.1153846154 | 0.1328160144 | 0.0003038537
	0.1153846154 | 0.0925551057 | 0.0005211865
	0.1153846154 | 0.0431848853 | 0.0052128010
	0.1153846154 | 0.0705128205 | 0.0020134780
	0.1153846154 | 0.0000000000 | 0.0133136095
	0.1153846154 | 0.0333783176 | 0.0067250329
	0.1153846154 | 0.1455240666 | 0.0009083865
	0.1153846154 | 0.1075573549 | 0.0000612660
	0.1153846154 | 0.1073774179 | 0.0000641152
	0.1153846154 | 0.1376068376 | 0.0004938272
	0.1153846154 | 0.0585695007 | 0.0032279573
	0.1153846154 | 0.0556455241 | 0.0035687590
	0.1153846154 | 0.0743139901 | 0.0016867963
	0.1153846154 | 0.1145748988 | 0.0000006556
	0.1153846154 | 0.1354700855 | 0.0004034261
	0.1153846154 | 0.1320287899 | 0.0002770285
	0.1153846154 | 0.0969185785 | 0.0003409945
	0.1153846154 | 0.0851327036 | 0.0009151782
	0.1153846154 | 0.1239991003 | 0.0000742094
	0.1153846154 | 0.0982456140 | 0.0002937454
	0.1153846154 | 0.0718398561 | 0.0018961461
	0.1153846154 | 0.0526315789 | 0.0039379436
	0.1153846154 | 0.0709626631 | 0.0019733098
	0.1153846154 | 0.1152721547 | 0.0000000126
	0.1153846154 | 0.1198605488 | 0.0000200340
	0.1153846154 | 0.0665766982 | 0.0023822128
	0.1153846154 | 0.0720422852 | 0.0018785576
	0.1153846154 | 0.0354925776 | 0.0063827377
	0.1153846154 | 0.0580296896 | 0.0032895875
