Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../../to_sent_2015_01_25/example_graphs/clus-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 18637,616,13165
SIMULATED ANNEALING:
	Initial Temperature-> 1.000000
	Tk final-> 0.000010
	Minimum Temperature-> 0.000010
	Geometric cooling rate: T[k]=0.900000 * T[k-1]
	Number Maxim of Combinations-> 20
RESULTS:
	Best cost -> 1.01454107979374419379
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	0.0598987757 | 0.0006747638 | 0.0035074836
	0.0870761305 | 0.0000000000 | 0.0075822525
	0.0135900649 | 0.9385964912 | 0.8556368887
	0.0047022422 | 0.0000000000 | 0.0000221111
	0.0248157788 | 0.0000000000 | 0.0006158229
	0.0096678662 | 0.0000000000 | 0.0000934676
	0.0881435329 | 0.0020242915 | 0.0074165237
	0.0271244837 | 0.0020242915 | 0.0006300196
	0.0619561725 | 0.0000000000 | 0.0038385673
	0.0438939228 | 0.0000000000 | 0.0019266765
	0.0265404580 | 0.0013495277 | 0.0006345830
	0.0489948648 | 0.0000000000 | 0.0024004968
	0.0071749888 | 0.0000000000 | 0.0000514805
	0.0029818135 | 0.0006747638 | 0.0000053225
	0.0204067862 | 0.0000000000 | 0.0004164369
	0.0275209196 | 0.0000000000 | 0.0007574010
	0.0069629201 | 0.0000000000 | 0.0000484823
	0.2048198765 | 0.0006747638 | 0.0416752270
	0.0095291648 | 0.0000000000 | 0.0000908050
	0.0210763895 | 0.0020242915 | 0.0003629824
	0.0074092967 | 0.0040485830 | 0.0000112944
	0.1567052400 | 0.0000000000 | 0.0245565322
	0.0730047206 | 0.0006747638 | 0.0052316226
	0.0518993190 | 0.0000000000 | 0.0026935393
	0.0199126559 | 0.0006747638 | 0.0003700965
	0.1852899518 | 0.0000000000 | 0.0343323663
	0.0088234378 | 0.0000000000 | 0.0000778531
	0.0833575893 | 0.0000000000 | 0.0069484877
	0.0218988277 | 0.0000000000 | 0.0004795587
	0.0665510565 | 0.0000000000 | 0.0044290431
	0.0165995704 | 0.0000000000 | 0.0002755457
	0.0794653989 | 0.0000000000 | 0.0063147496
	0.0054742191 | 0.0000000000 | 0.0000299671
	0.0026634428 | 0.0512820513 | 0.0023637691
	0.1023784358 | 0.0000000000 | 0.0104813441
	0.0073870574 | 0.0512820513 | 0.0019267705
	0.0134425273 | 0.0013495277 | 0.0001462406
	0.0108834785 | 0.0020242915 | 0.0000784852
	0.0224327629 | 0.0512820513 | 0.0008322814
	0.0003373819 | 0.0013495277 | 0.0000010244
